,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
93,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,47,MIS2,0.1,0.136524396,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_07_concentration.csv,1189.847964,894.4845517,7,4%,E4,Y,,0.01,-0.116056892
94,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,48,MIS2,0.2,0.14596195,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_08_concentration.csv,866.0400895,1134.552282,8,4%,E4,Y,,0.01,6.788643912
95,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,49,MIS2,0.1,0.136583359,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_09_concentration.csv,1204.46732,919.546131,9,4%,E4,Y,,0.01,-0.072918397
96,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,50,MIS2,0.2,0.145896282,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_10_concentration.csv,854.6556845,1091.841455,10,4%,E4,Y,,0.01,6.740599907
97,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,51,MIS2,0.1,0.130469658,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_11_concentration.csv,1243.44448,1006.25871,11,4%,E4,Y,,0.01,-4.545822733
98,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,52,MIS2,0.2,0.170479821,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_12_concentration.csv,949.8243129,1096.013603,12,4%,E4,Y,,0.01,24.72640232
99,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,53,MIS2,0.1,0.131685411,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_13_concentration.csv,1232.69558,1015.869658,13,4%,E4,Y,,0.01,-3.656353839
100,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,54,MIS2,0.2,0.149280677,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_14_concentration.csv,1004.609482,1211.038978,14,4%,E4,Y,,0.01,9.216690097
101,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,55,MIS2,0.1,0.129139782,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_15_concentration.csv,1148.78146,967.5357302,15,4%,E4,Y,,0.01,-5.518786266
102,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,56,MIS2,0.2,0.144810995,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_16_concentration.csv,1058.549918,1313.636501,16,4%,E4,Y,,0.01,5.946582514
103,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,57,MIS2,0.1,0.129482691,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_17_concentration.csv,1219.259699,1024.58836,17,4%,E4,Y,,0.01,-5.267907273
104,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,58,MIS2,0.2,0.148324483,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_18_concentration.csv,987.2766104,1186.423153,18,4%,E4,Y,,0.01,8.517119692
105,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,59,MIS2,0.1,0.126072882,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_19_concentration.csv,1165.954795,1010.028584,19,4%,E4,Y,,0.01,-7.762590847
106,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,60,MIS2,0.2,0.141917302,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_20_concentration.csv,949.8729149,1155.732263,20,4%,E4,Y,,0.01,3.829499594
107,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,61,MIS2,0.1,0.130798063,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_21_concentration.csv,1177.737552,980.8286105,21,4%,E4,Y,,0.01,-4.305555152
108,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,62,MIS2,0.1,0.131520677,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_22_concentration.csv,1206.065794,986.7808367,22,4%,E4,Y,,0.01,-3.776876486
109,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,63,MIS2,0.2,0.142955109,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_23_concentration.csv,1025.929629,1310.105033,23,4%,E4,Y,,0.01,4.588779682
110,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,64,MIS2,0.1,0.130974978,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_24_concentration.csv,1162.751718,959.5199054,24,4%,E4,Y,,0.01,-4.176120646
111,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,65,MIS2,0.2,0.141404687,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_25_concentration.csv,1030.620354,1337.425954,25,4%,E4,Y,,0.01,3.454460341
112,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,66,MIS2,0.1,0.122517446,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_26_concentration.csv,1280.133121,1112.432898,26,4%,E4,Y,,0.01,-10.36381801
